Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Moore, Matt",519043,50,52.2,218,60,15,27.5,6.9,15,16,5,1,2.56,0,88.4,32.1,7.9,36.7,78.35866853,93.3477343,28.2,53.1,35
"Pressly, Ryan",519151,65,65.1,268,74,16,27.6,6,26,33,4,5,3.58,0,91.3,27.7,9,43.5,81.46872787,95.09487774,31,50.7,54.8
"Sale, Chris",519242,20,102.2,425,125,29,29.4,6.8,49,52,6,5,4.3,20,87.9,33.5,8.4,34.6,77.43973923,93.22995853,29.7,48.1,38.4
"Smith, Will",519293,60,57.1,226,55,17,24.3,7.5,28,31,2,7,4.4,0,88.2,39,7.8,38.3,77.08218724,93.73306711,28.7,50.5,30.5
"Kelly, Joe",523260,42,39.1,168,60,18,35.7,10.7,18,22,2,5,4.12,0,84.9,35.2,6.8,36.4,71.13222227,93.40207425,31.4,43.8,58
"Pérez, Martín",527048,35,141.2,608,93,49,15.3,8.1,70,74,10,4,4.45,20,89,33.1,7.6,37.2,78.33907544,93.95053239,17.2,45.3,46.1
"Teheran, Julio",527054,14,71.2,288,50,13,17.4,4.5,35,36,3,5,4.4,11,89.8,39.4,10,42.1,79.05222982,94.53356286,20.2,48.1,40.7
"Ramírez, Erasmo",541640,38,60.1,274,43,13,15.7,4.7,43,47,3,3,6.41,2,89.7,37.4,8.4,43.5,78.90707514,94.53338183,20,51.5,43.9
"Cisnero, José",542585,63,59.1,267,70,25,26.2,9.4,35,39,3,4,5.31,0,90.1,31.9,9.6,44.6,78.65491024,95.0945461,25.3,48.6,44
"Anderson, Tyler",542881,27,141,629,119,64,18.9,10.2,85,90,6,6,5.43,25,87,37.6,8.2,32.3,75.81805433,93.08464977,27.8,49.7,31
"Armstrong, Shawn",542888,39,52,207,54,11,26.1,5.3,8,12,1,0,1.38,6,87.5,33.3,3.6,33.3,76.96195362,93.05010348,26.3,53.8,39.1
"Bleier, Richard",542947,27,30.2,132,16,5,12.1,3.8,18,20,1,0,5.28,0,88.6,27.8,7.4,39.8,76.74289793,94.60789581,17.5,55.3,55.6
"Cole, Gerrit",543037,33,209,821,222,48,27,5.8,61,64,15,4,2.63,33,89.2,33.7,7.6,39.2,78.70316261,93.99608063,26,50.1,40.3
"Coulombe, Danny",543056,61,51.1,210,58,12,27.6,5.7,16,17,5,3,2.81,0,85.6,26.8,5.8,30.4,73.85558574,92.77453074,29.3,46.5,45.7
"DeSclafani, Anthony",543101,19,99.2,419,79,20,18.9,4.8,54,59,4,8,4.88,18,90.1,34.6,8.3,45.1,78.58761477,95.10531839,20,46.7,42.2
"Eovaldi, Nathan",543135,25,144,577,132,47,22.9,8.1,58,59,12,5,3.63,25,88.9,30.1,7.9,43.1,77.3149078,94.41575183,26.3,47.8,51.5
"Gray, Sonny",543243,32,184,754,183,55,24.3,7.3,57,59,8,8,2.79,32,89.1,32.9,6.9,39.2,78.43519514,94.12646475,26,47.7,48
"Hand, Brad",543272,60,53.2,236,59,22,25,9.3,33,33,5,3,5.53,0,88.8,38,7.3,37.3,78.22110986,93.87614566,22.3,44.9,39.3
"Hendricks, Kyle",543294,24,137,578,93,27,16.1,4.7,57,68,6,8,3.74,24,85.2,33.7,6.2,31.5,72.3316,93.05979777,21.1,46.7,47.4
"Jackson, Jay",543351,25,29.2,116,27,9,23.3,7.8,7,8,3,1,2.12,0,87,29.1,7.6,35.4,75.64463436,93.15100923,30.4,49,45.6
"Lyles, Jordan",543475,31,177.2,748,120,45,16,6,124,130,6,17,6.28,31,89,34.6,9.9,35.5,78.64685804,93.74966533,20.1,48.1,33.9
"May, Trevor",543507,49,46.2,205,40,29,19.5,14.1,17,21,4,4,3.28,0,88,33.1,6,36.1,76.61059846,93.86165208,23.6,44.1,32.3
"McGough, Scott",543518,63,70.1,301,86,30,28.6,10,37,40,2,7,4.73,1,91.3,30.1,10.4,48.6,80.60560637,95.73373525,31.8,47.7,49.2
"McHugh, Collin",543521,41,58.2,268,47,22,17.5,8.2,28,34,4,1,4.3,1,88.6,33.5,6.2,35.6,78.1137259,93.63082763,25.7,47,45.4
"Shaw, Bryan",543766,38,45.2,190,40,17,21.1,8.9,21,21,0,0,4.14,0,88.3,34.6,3.9,36.2,78.45696297,93.37146591,23.4,45.3,40.2
"Tonkin, Michael",543859,45,80,325,75,23,23.1,7.1,38,41,7,3,4.28,0,89.8,32,8,40,80.06559559,94.12935441,24.8,50.3,38.7
"Lorenzen, Michael",547179,29,153,624,111,47,17.8,7.5,71,76,9,9,4.18,25,90,33.9,8,40.2,80.11625707,94.29566996,21.6,49.4,41.9
"Ryu, Hyun Jin",547943,11,52,224,38,14,17,6.3,20,25,3,3,3.46,11,87.8,29.2,7.6,36.8,76.90012155,93.39992673,21.1,48.1,46.2
"Chapman, Aroldis",547973,61,58.1,249,103,36,41.4,14.5,20,24,6,5,3.09,0,86.5,34.9,9.2,33,74.31041426,93.32574991,42.2,44.9,47.7
"Raley, Brooks",548384,66,54.2,236,61,25,25.8,10.6,17,19,1,2,2.8,0,85.8,31.3,4.9,29.2,73.90063394,92.88327916,28.9,43.4,43.1
"Stripling, Ross",548389,22,89,381,70,16,18.4,4.2,53,54,0,5,5.36,11,89.5,39.6,10.2,41.3,78.68494096,94.41736034,23.5,48.2,44.4
"García, Yimi",554340,73,66,282,79,15,28,5.3,30,35,3,4,4.09,0,87,31.9,6.6,35.2,74.90047787,93.5387668,31.3,48.2,47.3
"Wheeler, Zack",554430,32,192,787,212,39,26.9,5,77,82,13,6,3.61,32,86.9,35.1,5.1,36.4,75.39358592,93.26742057,28.6,51.3,41.2
"Ureña, José",570632,10,44.2,203,29,22,14.3,10.8,32,37,0,7,6.45,10,90.2,29.8,10.6,39.7,79.7618748,94.5252938,21.8,47.1,48.3
"Cessa, Luis",570666,7,26,132,11,12,8.3,9.1,26,26,1,4,9,6,91.8,44.4,7.4,46.3,81.29199963,95.68670047,14.2,47.3,38
"Bellatti, Andrew",571479,27,24.2,113,25,12,22.1,10.6,14,15,1,0,5.11,0,90.9,36.8,6.6,32.9,82.41714158,94.33173373,33.9,48.5,31.6
"Boyd, Matthew",571510,15,71,303,73,25,24.1,8.3,43,46,5,5,5.45,15,89.3,32.5,8.4,36,79.39295871,93.78488488,30.8,49.7,38.9
"Carasiti, Matt",571539,16,24.1,110,16,11,14.5,10,17,19,1,0,6.29,0,91,34.1,6.1,36.6,81.4521695,94.697154,23.1,42.1,56.1
"Corbin, Patrick",571578,32,180,790,124,57,15.7,7.2,104,113,10,15,5.2,32,90.7,37.9,9.3,44,80.19200081,94.92741557,21.2,45.7,45.3
"Farmer, Buck",571656,71,75,309,70,29,22.7,9.4,35,36,4,5,4.2,0,87.8,28.2,8.7,35,76.60519657,93.6288735,30.1,47,33.5
"Floro, Dylan",571670,62,56.2,248,58,17,23.4,6.9,30,34,5,6,4.76,0,87.1,32.4,2.9,37.1,75.57876271,93.37742752,24,46,54.7
"Heaney, Andrew",571760,34,147.1,641,151,60,23.6,9.4,68,74,10,6,4.15,28,90.1,31.4,10.2,38.6,80.11818885,94.26314344,26.4,48.2,41.9
"Koch, Matt",571863,39,38.2,163,27,9,16.6,5.5,22,22,3,2,5.12,1,90.1,31.2,8,44.8,79.29754984,94.70953911,22.5,51.7,51.2
"Law, Derek",571882,54,55,240,45,26,18.8,10.8,22,24,4,6,3.6,3,87,38,4.8,32.5,76.35456288,92.89302625,26.9,47.8,42.2
"Loup, Aaron",571901,55,48.2,231,45,20,19.5,8.7,33,37,2,3,6.1,0,87.9,39.6,8.5,37.2,76.3207763,93.91056354,20.5,50.7,48.2
"Matz, Steven",571927,25,105,449,98,32,21.8,7.1,45,48,4,7,3.86,17,89.1,31.3,4.7,38,78.62219,93.87503089,25.3,47.8,45.9
"Mikolas, Miles",571945,35,201.1,860,137,39,15.9,4.5,107,110,9,13,4.78,35,90.4,38.9,9.8,43,80.24284554,94.59317701,16.7,49.7,39
"Miller, Shelby",571946,36,42,163,42,19,25.8,11.7,8,8,3,0,1.71,1,89.5,30,7,37,79.278076,94.42699576,26,43,39
"Milner, Hoby",571948,73,64.1,252,59,13,23.4,5.2,13,16,2,1,1.82,0,86.6,33.1,6.2,35.4,75.54170568,92.87961326,20.6,42.5,50
"Paxton, James",572020,19,96,411,101,33,24.6,8,48,51,7,5,4.5,19,89.3,33.3,9.2,39.9,78.61629757,94.16741445,27.5,50,42.9
"VerHagen, Drew",572403,60,61,268,60,26,22.4,9.7,27,30,5,1,3.98,0,88.1,30.1,8.1,36.4,77.23417593,93.51544564,30.6,46.4,41
"Johnson, Pierce",572955,67,62.2,277,90,30,32.5,10.8,28,34,2,6,4.02,0,90.7,43.9,6.4,47.1,81.23581923,94.52932455,33.1,46.8,37.6
"Keuchel, Dallas",572971,10,37.2,172,25,18,14.5,10.5,25,25,2,1,5.97,6,86,31.5,7.1,34.6,73.49320906,93.34413622,20.4,42.6,53.5
"Mantiply, Joe",573009,35,39,157,28,9,17.8,5.7,20,22,2,2,4.62,3,87.7,28.3,9.2,35.8,76.51284483,93.59129151,23.2,49.7,54.2
"Rogers, Taylor",573124,60,51.2,216,64,25,29.6,11.6,22,27,6,4,3.83,0,89.7,25.8,9.7,45.2,78.206038,94.86508375,26.7,41.7,43.5
