Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Dominic Leone,1,3,4.67,54,49,28,28,14,28,54,2,235,6.29,1.426
Cody Bradford*,4,3,5.3,56,56,33,33,11,12,51,1,234,4.68,1.214
Brent Honeywell Jr.,2,4,4.82,52.1,53,29,28,10,23,45,5,234,5.62,1.452
Evan Phillips,2,4,2.05,61.1,38,19,14,6,13,66,3,234,3.16,0.832
Quinn Priester,3,3,7.74,50,58,43,43,12,27,36,3,234,6.74,1.7
José Leclerc,0,2,2.68,57,37,19,17,5,28,67,2,233,3.62,1.14
Daniel Bard,4,2,4.56,49.1,35,30,25,5,49,47,8,232,6.13,1.703
Jacob Webb,1,1,3.69,53.2,39,22,22,6,30,57,4,232,4.48,1.286
Jordan Weems,5,1,3.62,54.2,38,25,22,9,28,60,3,232,4.9,1.207
Josh Hader*,2,3,1.28,56.1,32,11,8,3,30,85,3,231,2.69,1.101
Raisel Iglesias,5,4,2.75,55.2,51,23,17,7,15,68,0,231,3.26,1.186
Aaron Loup*,2,3,6.1,48.2,65,37,33,6,20,45,2,231,4.36,1.747
Devin Williams,8,3,1.53,58.2,26,13,10,4,28,87,1,231,2.66,0.92
Jared Shuster*,4,3,5.81,52.2,53,34,34,7,26,30,1,230,5.38,1.5
Giovanny Gallegos,2,4,4.42,55,54,28,27,11,12,59,0,229,4.36,1.2
George Soriano,0,0,3.81,52,46,26,22,6,23,52,5,228,4.37,1.327
Wandy Peralta*,4,2,2.83,54,36,19,17,7,30,51,6,227,5.05,1.222
Ronel Blanco,2,1,4.5,52,49,29,26,12,28,52,2,226,5.99,1.481
Will Smith*,2,7,4.4,57.1,44,31,28,5,17,55,0,226,3.36,1.064
Andrew Chafin*,3,4,4.73,51.1,45,30,27,6,28,63,1,224,4.01,1.422
Seranthony Domínguez,5,5,3.78,50,48,25,21,7,22,48,6,224,4.84,1.4
Hyun Jin Ryu*,3,3,3.46,52,53,25,20,9,14,38,1,224,4.91,1.288
Sam Hentges*,3,2,3.61,52.1,53,24,21,2,18,56,0,223,2.64,1.357
Jose Hernandez*,1,3,4.97,50.2,47,30,28,9,22,62,1,223,4.48,1.362
Daniel Lynch IV*,3,4,4.64,52.1,50,29,27,9,16,34,1,223,5.17,1.261
Jason Adam,4,2,2.98,54.1,35,21,18,7,20,69,9,222,3.99,1.012
Jake Woodford,2,3,6.23,47.2,61,34,33,11,22,29,3,222,6.61,1.741
Josh Fleming*,2,0,4.7,51.2,56,29,27,9,19,25,0,221,5.66,1.452
Chase Silseth,4,1,3.96,52.1,41,26,23,9,26,56,2,221,4.96,1.28
Pedro Avila,2,2,3.22,50.1,43,23,18,3,25,54,5,220,3.67,1.351
Andrew Vasquez*,2,1,3.35,48.1,46,21,18,4,23,43,7,219,4.41,1.428
Steven Wilson,1,2,3.91,53,35,23,23,7,27,57,3,219,4.52,1.17
Johnny Cueto,1,4,6.02,52.1,51,36,35,17,15,39,3,218,7.02,1.261
Matt Moore*,5,1,2.56,52.2,46,16,15,7,15,60,3,218,3.73,1.158
