Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Miles Mikolas,9,13,4.78,201.1,226,110,107,26,39,137,8,860,4.27,1.316
Logan Webb,11,13,3.25,216,201,83,78,20,31,194,5,850,3.16,1.074
Zac Gallen,17,9,3.47,210,188,87,81,22,47,220,5,846,3.26,1.119
Chris Bassitt,16,8,3.6,200,176,88,80,28,59,186,12,826,4.28,1.175
Mitch Keller,13,9,4.21,194.1,187,97,91,25,55,210,12,825,3.8,1.245
Gerrit Cole,15,4,2.63,209,157,64,61,20,48,222,7,821,3.16,0.981
Lance Lynn,13,11,5.73,183.2,189,127,117,44,67,191,9,808,5.53,1.394
Framber Valdez*,12,11,3.45,198,166,86,76,19,57,200,10,808,3.5,1.126
Kyle Gibson,15,9,4.73,192,198,101,101,23,55,157,6,807,4.13,1.318
Luis Castillo,14,9,3.34,197,160,81,73,28,56,219,5,802,3.81,1.096
Pablo López,11,8,3.66,194,176,81,79,24,48,234,9,801,3.33,1.155
Lucas Giolito,8,15,4.88,184.1,169,110,100,41,73,204,9,794,5.27,1.313
Aaron Nola,12,9,4.46,193.2,178,105,96,32,45,202,1,793,4.03,1.151
Patrick Corbin*,10,15,5.2,180,210,113,104,33,57,124,4,790,5.28,1.483
Zack Wheeler,13,6,3.61,192,168,82,77,20,39,212,9,787,3.15,1.078
Corbin Burnes,10,8,3.39,193.2,141,77,73,22,66,200,8,784,3.81,1.069
Dylan Cease,7,9,4.58,177,172,98,90,19,79,214,9,784,3.72,1.418
José Berríos,11,12,3.65,189.2,173,82,77,25,52,184,9,782,3.99,1.186
Johan Oviedo,9,14,4.31,177.2,161,91,85,19,83,158,13,781,4.49,1.373
Jordan Montgomery*,10,11,3.2,188.2,177,75,67,18,48,166,4,777,3.56,1.193
Logan Gilbert,13,7,3.73,190.2,169,82,79,29,36,189,2,770,3.85,1.075
LgAvg per 180 IP,10,10,4.37,180,171,95,87,25,67,175,9,770,4.36,1.321
Kevin Gausman,12,9,3.16,185,163,72,65,19,55,237,3,763,2.97,1.178
Spencer Strider,20,5,3.86,186.2,146,85,80,22,58,281,9,763,2.85,1.093
Sandy Alcántara,7,12,4.14,184.2,176,91,85,22,48,151,5,762,4.03,1.213
George Kirby,13,10,3.35,190.2,179,74,71,22,19,172,6,757,3.34,1.038
Sonny Gray,8,8,2.79,184,156,59,57,8,55,183,6,754,2.83,1.147
Jordan Lyles,6,17,6.28,177.2,176,130,124,39,45,120,6,748,5.62,1.244
Blake Snell*,14,9,2.25,180,115,47,45,15,99,234,3,742,3.44,1.189
Jesús Luzardo*,10,10,3.58,178.2,162,79,71,22,55,208,6,741,3.55,1.215
Dean Kremer,13,5,4.12,172.2,171,85,79,27,55,157,5,735,4.51,1.309
JP Sears*,5,14,4.54,172.1,165,90,87,34,53,161,16,735,5.15,1.265
Taijuan Walker,15,6,4.38,172.2,155,87,84,20,71,138,8,733,4.53,1.309
Bryce Elder,12,4,3.81,174.2,160,79,74,19,63,128,8,732,4.42,1.277
Dane Dunning,12,7,3.7,172.2,163,73,71,20,55,140,10,722,4.27,1.263
Merrill Kelly,12,8,3.29,177.2,143,71,65,20,69,187,4,722,3.85,1.193
Charlie Morton,14,12,3.64,163.1,150,70,66,14,83,183,12,716,3.87,1.427
Justin Steele*,16,5,3.06,173.1,167,71,59,14,36,176,7,716,3.02,1.171
Zach Eflin,16,8,3.5,177.2,158,69,69,19,24,186,3,703,3.01,1.024
Brady Singer,8,11,5.52,159.2,182,102,98,20,49,133,8,702,4.29,1.447
Yusei Kikuchi*,11,6,3.86,167.2,165,78,72,27,48,181,4,700,4.12,1.27
Josiah Gray,8,13,3.91,159,152,72,69,22,80,143,9,698,4.93,1.459
Clarke Schmidt,9,9,4.64,159,169,91,82,24,46,149,11,694,4.42,1.352
Kodai Senga,12,7,2.98,166.1,126,60,55,17,77,202,5,694,3.63,1.22
Cristian Javier,10,5,4.56,162,143,85,82,25,62,159,7,687,4.58,1.265
Freddy Peralta,12,10,3.86,165.2,131,77,71,26,54,210,6,680,3.85,1.117
Kyle Freeland*,6,14,5.03,155.2,187,96,87,29,42,94,1,677,5.3,1.471
Joe Ryan,11,10,4.51,161.2,155,83,81,32,34,197,6,672,4.13,1.169
Kyle Bradish,12,7,2.83,168.2,132,54,53,14,44,168,8,671,3.27,1.043
Justin Verlander,13,8,3.22,162.1,139,63,58,18,45,144,5,669,3.85,1.133
Brayan Bello,12,11,4.24,157,165,77,74,24,45,132,6,668,4.54,1.338
Hunter Brown,11,13,5.09,155.2,157,94,88,26,55,178,9,665,4.37,1.362
Rich Hill*,8,14,5.41,146.1,165,98,88,23,58,129,7,660,4.87,1.524
Braxton Garrett*,9,7,3.66,159.2,154,68,65,20,29,156,11,659,3.68,1.146
Trevor Williams,6,10,5.55,144.1,178,97,89,34,53,111,5,659,5.98,1.6
Jon Gray,9,8,4.12,157.1,149,75,72,22,54,142,9,656,4.47,1.29
Jameson Taillon,8,10,4.84,154.1,156,96,83,27,41,140,5,655,4.61,1.276
Patrick Sandoval*,7,13,4.11,144.2,145,89,66,12,74,128,4,652,4.18,1.514
Jack Flaherty,8,9,4.99,144.1,162,83,80,17,66,148,12,650,4.36,1.58
Alex Cobb,7,7,3.87,151.1,163,69,65,19,37,131,6,646,4.01,1.322
Reid Detmers*,4,10,4.48,148.2,141,81,74,19,60,168,13,644,4.13,1.352
Andrew Heaney*,10,6,4.15,147.1,143,74,68,23,60,151,10,641,4.66,1.378
Ken Waldichuk*,4,9,5.36,141,149,93,84,24,71,132,9,639,5.3,1.56
Tyler Anderson*,6,6,5.43,141,146,90,85,20,64,119,7,629,4.92,1.489
Drew Smyly*,11,11,5,142.1,147,89,79,26,56,141,6,626,4.96,1.426
Graham Ashcraft,7,9,4.76,145.2,148,78,77,23,52,111,10,624,5.06,1.373
Michael Lorenzen,9,9,4.18,153,138,76,71,20,47,111,2,624,4.46,1.209
Eduardo Rodríguez*,13,9,3.3,152.2,128,59,56,15,48,143,3,621,3.66,1.153
Max Scherzer,13,6,3.77,152.2,126,65,64,28,45,174,4,621,4.32,1.12
Ryne Nelson,8,8,5.31,144,159,87,85,24,46,96,1,619,5.07,1.424
Martín Pérez*,10,4,4.45,141.2,150,74,70,21,49,93,4,608,4.99,1.405
Seth Lugo,8,7,3.57,146.1,140,62,58,19,36,140,3,604,3.83,1.203
Austin Gomber*,9,9,5.5,139,164,88,85,26,43,87,3,603,5.43,1.489
Zack Greinke,2,15,5.06,142.1,158,82,80,25,23,97,4,593,4.74,1.272
Michael Kopech,5,12,5.43,129.1,115,80,78,29,91,134,11,591,6.46,1.593
Nick Pivetta,10,9,4.04,142.2,110,69,64,23,50,183,6,587,3.96,1.121
Tanner Bibee,10,4,2.98,142,122,49,47,13,45,141,5,585,3.52,1.176
MacKenzie Gore*,7,10,4.42,136.1,134,71,67,27,57,151,1,582,4.89,1.401
J.P. France,11,6,3.83,136.1,138,64,58,19,47,101,2,581,4.66,1.357
Kyle Hendricks,6,8,3.74,137,138,68,57,13,27,93,4,578,3.81,1.204
Nathan Eovaldi,12,5,3.63,144,117,59,58,15,47,132,6,577,3.88,1.139
Bailey Ober,8,6,3.43,144.1,125,58,55,22,29,146,7,577,3.96,1.067
Marcus Stroman,10,9,3.95,136.2,120,68,60,9,52,119,3,575,3.58,1.259
Yu Darvish,8,10,4.56,136.1,134,71,69,18,43,141,8,574,4.03,1.298
Tylor Megill,9,8,4.7,126.1,141,76,66,18,58,105,6,567,4.96,1.575
Luke Weaver,3,6,6.4,123.2,155,90,88,29,40,109,4,563,5.61,1.577
Michael Wacha,14,4,3.22,134.1,113,49,48,15,43,124,3,553,3.89,1.161
Mike Clevinger,9,9,3.77,131.1,121,56,55,16,40,110,9,549,4.28,1.226
Ranger Suárez*,4,6,4.18,125,129,59,58,13,48,119,2,540,3.9,1.416
Logan Allen*,7,8,3.81,125.1,127,55,53,16,48,119,1,537,4.19,1.396
Bryce Miller,8,7,4.32,131.1,124,64,63,18,26,119,7,537,3.98,1.142
Griffin Canning,7,8,4.32,127,121,62,61,22,36,139,5,536,4.29,1.236
Shane Bieber,6,6,3.8,128,124,56,54,14,34,107,3,533,3.87,1.234
Shohei Ohtani,10,5,3.14,132,85,50,46,18,55,167,11,531,4,1.061
Jake Irvin,3,7,4.61,121,118,66,62,20,54,99,8,530,5.3,1.421
Kutter Crawford,6,8,4.04,129.1,107,59,58,17,36,135,5,527,3.83,1.106
Clayton Kershaw*,13,5,2.46,131.2,100,39,36,19,40,137,3,523,4.03,1.063
Colin Rea,6,6,4.55,124.2,110,65,63,23,38,110,4,517,4.9,1.187
Grayson Rodriguez,7,4,4.35,122,121,62,59,16,42,129,2,515,3.93,1.336
Bobby Miller,11,4,3.76,124.1,105,53,52,12,32,119,6,505,3.51,1.102
Aaron Civale,7,5,3.46,122.1,109,47,47,12,33,116,5,504,3.57,1.161
Sean Manaea*,7,6,4.44,117.2,104,68,58,14,42,128,8,499,3.9,1.241
Hunter Greene,4,7,4.82,112,111,65,60,19,48,152,8,498,4.25,1.42
Luis Medina,3,10,5.42,109.2,109,73,66,14,57,106,8,495,4.76,1.514
David Peterson*,3,8,5.03,111,124,64,62,16,50,128,6,492,4.34,1.568
Joey Wentz*,3,13,6.9,105.2,131,87,81,25,47,98,0,492,5.81,1.685
Brandon Williamson*,5,5,4.46,117,111,63,58,18,39,98,2,491,4.63,1.282
Wade Miley*,9,4,3.14,120.1,99,44,42,16,38,79,3,490,4.69,1.139
Tyler Glasnow,10,7,3.53,120,93,52,47,13,37,162,1,485,2.91,1.083
Adam Wainwright,5,11,7.4,101,151,89,83,20,41,55,1,484,5.99,1.901
Julio Urías*,11,8,4.6,117.1,112,61,60,24,24,117,6,482,4.69,1.159
Adrian Houser,8,5,4.12,111.1,121,56,51,13,34,96,1,481,3.99,1.392
Tyler Wells,7,6,3.64,118.2,83,50,48,25,34,117,4,470,4.98,0.986
Shane McClanahan*,11,2,3.29,115,95,42,42,15,41,121,0,469,3.92,1.183
Chris Flexen,2,8,6.86,102.1,133,81,78,25,38,74,4,466,6.22,1.671
Paul Blackburn,4,7,4.43,103.2,117,54,51,11,43,104,3,464,3.96,1.543
Tanner Houck,6,10,5.01,106,104,61,59,14,41,99,6,463,4.43,1.368
Nick Martinez,6,4,3.43,110.1,99,45,42,12,40,106,3,461,3.92,1.26
Taj Bradley,5,8,5.59,104.2,106,69,65,23,39,129,1,460,4.79,1.385
Andrew Abbott*,8,6,3.87,109.1,100,47,47,16,44,120,1,459,4.2,1.317
Javier Assad,5,3,3.05,109.1,93,38,37,13,41,94,3,449,4.29,1.226
Steven Matz*,4,7,3.86,105,108,48,45,11,32,98,3,449,3.75,1.333
Domingo Germán,5,7,4.56,108.2,83,61,55,20,34,114,6,444,4.65,1.077
Cal Quantrill,4,7,5.24,99.2,111,59,58,11,35,58,7,444,4.79,1.465
Tony Gonsolin,8,5,4.98,103,86,61,57,19,40,82,7,435,5.43,1.223
Edward Cabrera,7,7,4.24,99.2,78,48,47,11,66,118,4,434,4.43,1.445
Michael King,4,8,2.75,104.2,88,35,32,10,32,127,5,431,3.13,1.146
Alex Wood*,5,5,4.33,97.2,98,52,47,9,42,74,8,429,4.47,1.433
Kenta Maeda,6,8,4.23,104.1,94,50,49,17,28,117,3,428,4.02,1.169
Chris Sale*,6,5,4.3,102.2,87,52,49,15,29,125,8,425,3.8,1.13
Reese Olson,5,7,3.99,103.2,83,49,46,14,33,103,1,422,4.01,1.119
Brandon Pfaadt,3,9,5.72,96,109,63,61,22,26,94,3,421,5.18,1.406
Anthony DeSclafani,4,8,4.88,99.2,105,59,54,15,20,79,4,419,4.35,1.254
Carlos Carrasco,3,8,6.8,90,115,71,68,18,38,66,6,417,5.86,1.7
Luis Severino,4,8,6.65,89.1,113,73,66,23,34,79,5,417,6.14,1.646
Alek Manoah,3,9,5.87,87.1,93,61,57,15,59,79,9,415,6.01,1.74
James Paxton*,7,5,4.5,96,93,51,48,18,33,101,2,411,4.68,1.313
Connor Seabold,1,7,7.52,87.1,116,76,73,19,28,67,7,408,5.75,1.649
Xzavion Curry,3,4,4.07,95,98,47,43,12,30,67,2,404,4.5,1.347
Luis Ortiz,5,5,4.78,86.2,99,50,46,13,48,59,2,400,5.57,1.696
Joe Musgrove,10,3,3.05,97.1,90,35,33,10,21,97,9,399,3.52,1.14
Cristopher Sánchez*,3,5,3.44,99.1,88,44,38,16,16,96,3,396,3.99,1.047
Cole Ragans*,7,5,3.47,96,70,40,37,7,41,113,2,392,3.19,1.156
Noah Syndergaard,2,6,6.5,88.2,104,65,64,22,19,56,10,391,6.2,1.387
Touki Toussaint,4,7,4.97,87,69,48,48,10,57,85,7,384,5,1.448
Ben Lively,4,7,5.38,88.2,96,53,53,20,25,79,3,383,5.35,1.365
Jake Bird,3,3,4.33,89.1,94,47,43,6,27,77,7,381,3.55,1.354
Tommy Henry*,5,4,4.15,89,86,42,41,12,35,64,4,381,4.88,1.36
Ross Stripling,0,5,5.36,89,104,54,53,20,16,70,2,381,5.21,1.348
Zack Littell,3,6,4.1,90,94,43,41,13,12,74,4,379,4.02,1.178
Hayden Wesneski,3,5,4.63,89.1,82,50,46,20,32,83,3,379,5.48,1.276
Zach Davies,2,5,7,82.1,98,67,64,10,39,72,2,377,4.58,1.664
Jesse Scholtens,1,9,5.29,85,100,54,50,15,30,58,2,377,5.31,1.529
Ryan Yarbrough*,8,7,4.52,89.2,96,45,45,13,14,67,8,377,4.38,1.227
Peter Lambert,3,7,5.36,87.1,93,54,52,18,28,71,5,375,5.44,1.385
Eury Pérez,5,6,3.15,91.1,72,35,32,15,31,108,2,374,4.11,1.128
Chase Anderson,1,6,5.42,86.1,90,53,52,17,33,64,7,372,5.72,1.425
Jhony Brito,9,7,4.28,90.1,82,47,43,14,28,72,4,372,4.74,1.218
Kyle Muller*,1,5,7.6,77,112,65,65,16,39,56,3,372,6.14,1.961
Bryan Woo,4,5,4.21,87.2,75,44,41,13,31,93,7,371,4.36,1.209
Yonny Chirinos,5,5,5.4,85,91,53,51,15,27,53,5,367,5.43,1.388
Jakob Junis,4,3,3.87,86,90,42,37,12,21,96,5,367,3.74,1.291
Josh Winckowski,4,4,2.88,84.1,89,34,27,9,31,82,3,367,3.91,1.423
Jaime Barria,2,6,5.68,82.1,91,63,52,20,30,62,2,362,6.07,1.47
Shintaro Fujinami,7,8,7.18,79,73,65,63,9,45,83,7,357,4.61,1.494
Tristan Beck,3,3,3.92,85,83,40,37,10,21,68,2,354,4,1.224
Dakota Hudson,6,3,4.98,81.1,88,46,45,9,34,45,6,354,5.06,1.5
Brandon Bielak,5,6,3.83,80,86,43,34,12,36,62,5,353,5.19,1.525
Ty Blach*,3,3,5.54,78,104,51,48,15,24,50,6,352,5.63,1.641
Matt Strahm*,9,5,3.29,87.2,68,34,32,11,21,108,3,351,3.24,1.015
Bailey Falter*,2,9,5.36,80.2,94,55,48,17,20,60,0,347,5.25,1.413
Gavin Williams,3,5,3.29,82,66,32,30,8,37,81,4,345,4.05,1.256
Alec Marsh,3,9,5.69,74.1,77,50,47,16,39,85,9,342,5.7,1.561
Chris Stratton,2,1,3.92,82.2,69,39,36,8,25,81,2,338,3.53,1.137
Cole Irvin*,1,4,4.42,77.1,78,42,38,11,21,68,7,336,4.43,1.28
Justin Lawrence,4,7,3.72,75,65,37,31,5,36,78,7,326,3.76,1.347
Michael Tonkin,7,3,4.28,80,64,41,38,13,23,75,2,325,4.43,1.088
Tyler Holton*,3,2,2.11,85.1,56,21,20,9,18,74,1,324,3.56,0.867
Jose Quintana*,3,6,3.57,75.2,75,33,30,5,24,60,1,319,3.52,1.308
Ian Gibaut,8,4,3.33,75.2,69,33,28,8,28,69,4,318,4.07,1.282
Matt Manning,5,4,3.58,78,60,37,31,11,21,50,5,316,4.81,1.038
Trevor Richards,2,1,4.95,72.2,63,41,40,13,35,105,2,315,4.22,1.349
Bryse Wilson,6,0,2.58,76.2,60,26,22,9,22,61,2,314,4.13,1.07
Max Fried*,8,1,2.55,77.2,70,24,22,7,18,80,2,311,3.14,1.133
Tarik Skubal*,7,3,2.8,80.1,58,28,25,4,14,102,3,310,2,0.896
Buck Farmer,4,5,4.2,75,58,36,35,11,29,70,4,309,4.62,1.16
Tyler Rogers,4,5,3.04,74,66,27,25,7,19,60,3,309,3.76,1.149
Matt Brash,9,4,3.06,70.2,65,26,24,3,29,107,6,308,2.26,1.33
Tanner Scott*,9,5,2.31,78,53,22,20,3,24,104,4,307,2.17,0.987
Phil Bickford,5,5,4.95,67.1,59,41,37,8,39,76,4,304,4.46,1.455
Bryan Hoeing,2,3,5.48,70.2,71,45,43,13,25,53,2,304,5.29,1.358
Garrett Whitlock,5,5,5.15,71.2,82,43,41,13,13,72,3,304,4.27,1.326
Matthew Boyd*,5,5,5.45,71,69,46,43,11,25,73,2,303,4.35,1.324
Julian Merryweather,5,1,3.38,72,58,28,27,8,36,98,1,303,3.52,1.306
Emmanuel Clase,3,9,3.22,72.2,68,37,26,4,16,64,1,302,2.91,1.156
Roansy Contreras,3,7,6.59,68.1,75,50,50,11,32,55,1,302,5.19,1.566
Michael Grove,2,3,6.13,69,83,47,47,12,19,73,3,302,4.36,1.478
Andre Pallante,4,1,4.76,68,76,37,36,6,30,43,3,302,4.59,1.559
Scott McGough,2,7,4.73,70.1,60,40,37,14,30,86,2,301,4.76,1.28
Carlos Hernández,1,10,5.27,70,62,43,41,10,31,77,1,300,4.28,1.329
Scott Barlow,2,6,4.37,68,61,39,33,4,34,79,5,299,3.42,1.397
Eli Morgan,5,2,4.01,67.1,73,37,30,9,24,75,1,299,3.88,1.441
Rafael Montero,3,3,5.08,67.1,74,40,38,11,29,79,3,298,4.46,1.53
Trevor Stephan,7,7,4.06,68.2,63,35,31,6,26,75,5,294,3.56,1.296
José Cuas,3,2,3.99,65.1,63,30,29,8,35,71,7,292,4.6,1.5
Brent Suter*,4,3,3.38,69.1,65,36,26,3,25,55,3,292,3.44,1.298
Gregory Santos,2,2,3.39,66.1,69,29,25,2,17,66,5,289,2.65,1.296
Kyle Finnegan,7,5,3.76,69.1,66,33,29,11,24,63,1,288,4.58,1.298
Alex Lange,7,5,3.68,66,43,30,27,6,45,79,6,288,4.36,1.333
Julio Teheran,3,5,4.4,71.2,68,36,35,13,13,50,4,288,4.93,1.13
Bryan Abreu,3,2,1.75,72,44,17,14,6,31,100,3,287,2.98,1.042
Joel Payamps,7,5,2.55,70.2,57,24,20,8,17,77,5,287,3.48,1.047
Zack Thompson*,5,7,4.48,66.1,69,35,33,8,25,72,2,287,3.87,1.417
Alexis Díaz,9,6,3.07,67.1,44,30,23,4,36,86,10,286,3.52,1.188
Carlos Rodón*,3,8,6.85,64.1,65,51,49,15,28,64,4,286,5.79,1.446
Jordan Hicks,3,9,3.29,65.2,57,30,24,4,32,81,4,285,3.22,1.355
Hogan Harris*,3,6,7.14,63,67,51,50,10,28,56,3,284,5.02,1.508
Yennier Cano,1,4,2.11,72.2,60,19,17,4,13,65,3,283,2.84,1.005
Louie Varland,4,3,4.63,68,66,35,35,16,17,71,1,283,5.02,1.221
Yimi García,3,4,4.09,66,67,35,30,8,15,79,6,282,3.39,1.242
Kendall Graveman,5,6,3.12,66.1,51,27,23,9,36,66,5,282,4.88,1.312
Camilo Doval,6,6,2.93,67.2,51,32,22,3,26,87,8,281,2.77,1.138
Carlos Estévez,5,5,3.9,62.1,62,34,27,7,31,78,5,281,3.94,1.492
James Kaprielian,2,6,6.34,61,66,45,43,9,31,57,5,280,5.07,1.59
Fernando Cruz,1,2,4.91,66,52,39,36,6,28,98,2,279,2.83,1.212
Justin Topa,5,4,2.61,69,61,26,20,4,18,61,3,279,3.15,1.145
Craig Kimbrel,8,6,3.26,69,44,28,25,10,28,94,4,278,3.81,1.043
Reynaldo López,3,7,3.27,66,50,25,24,8,34,83,1,278,3.91,1.273
David Bednar,3,3,2,67.1,53,22,15,3,21,80,3,277,2.53,1.099
Pierce Johnson,2,6,4.02,62.2,63,34,28,10,30,90,0,277,3.89,1.484
Jason Foley,3,3,2.61,69,65,21,20,2,15,55,1,276,2.73,1.159
Kevin Kelly,5,2,3.09,67,53,27,23,2,15,56,10,276,3.09,1.015
Matthew Liberatore*,3,6,5.25,61.2,66,42,36,5,25,46,5,275,4.28,1.476
José Urquidy,3,3,5.29,63,65,37,37,11,25,45,2,275,5.38,1.429
Griffin Jax,6,10,3.86,65.1,58,30,28,5,19,68,4,274,3.22,1.179
Phil Maton,4,3,3,66,49,27,22,6,25,74,9,274,3.74,1.121
Erasmo Ramírez,3,3,6.41,60.1,82,47,43,11,13,43,4,274,5.05,1.575
Mike Baumann,10,1,3.76,64.2,52,29,27,7,33,61,2,273,4.4,1.314
Héctor Neris,6,3,1.71,68.1,41,16,13,7,31,77,3,273,3.83,1.054
Emilio Pagán,5,2,2.99,69.1,45,26,23,5,21,65,1,273,3.27,0.952
Caleb Ferguson*,7,4,3.43,60.1,64,30,23,4,23,70,8,270,3.34,1.442
Mark Leiter Jr.,1,3,3.5,64.1,48,27,25,7,24,77,8,269,3.77,1.119
