Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
48,MIN,Keita Bates-Diop,Ohio State,5,230,3900,1500,738,203,0.48,0.339,0.749,17,6.5,3.2,0.9,6.2,0.076,-1.7,0.3,2018
49,SAS,Chimezie Metu,USC,5,209,2706,1190,714,151,0.492,0.298,0.755,12.9,5.7,3.4,0.7,4.1,0.074,-1.8,0.2,2018
50,IND,Alize Johnson,Missouri State,5,76,568,189,228,32,0.481,0.227,0.711,7.5,2.5,3,0.4,1.3,0.108,-2.4,-0.1,2018
51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,,2018
52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0,2018
53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,0.2,0.235,0.5,7.4,1.8,0.6,1.2,-0.2,-0.116,-6.7,-0.1,2018
54,DAL,Shake Milton,SMU,5,254,5280,2368,604,694,0.455,0.365,0.828,20.8,9.3,2.4,2.7,9.8,0.089,-1.8,0.2,2018
55,CHO,Arnoldas Kulboka,,1,2,5,0,0,0,0,0,,2.5,0,0,0,0,-0.217,-21.8,0,2018
56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,0.529,0,0.286,10.4,3.6,3.3,0.3,0.1,0.024,-6.2,-0.2,2018
57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,0.259,0.15,,5.2,1.7,1.2,0.5,-0.1,-0.085,-5.1,0,2018
58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0,2018
59,PHO,George King,Colorado,2,5,25,1,6,0,0,0,0.5,5,0.2,1.2,0,-0.1,-0.225,-17.2,-0.1,2018
60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,0.375,,0.474,4,1,1,0.1,-0.2,-0.098,-9.9,-0.2,2018
1,NOP,Zion Williamson,Duke,3,114,3650,2941,793,409,0.605,0.343,0.691,32,25.8,7,3.6,14.2,0.187,5.1,6.6,2019
2,MEM,Ja Morant,Murray State,4,248,7964,5557,1193,1830,0.472,0.321,0.753,32.1,22.4,4.8,7.4,19.7,0.119,2.8,9.7,2019
3,NYK,RJ Barrett,Duke,4,271,9107,4900,1469,769,0.422,0.343,0.709,33.6,18.1,5.4,2.8,8.1,0.043,-2.4,-0.9,2019
4,LAL,De'Andre Hunter,Virginia,4,206,6399,2860,856,318,0.444,0.356,0.799,31.1,13.9,4.2,1.5,5.4,0.041,-3.4,-2.3,2019
5,CLE,Darius Garland,Vanderbilt,4,250,8491,4632,649,1679,0.449,0.387,0.871,34,18.5,2.6,6.7,13.8,0.078,-0.2,3.8,2019
6,PHO,Jarrett Culver,Texas Tech,4,144,2480,934,402,173,0.401,0.276,0.509,17.2,6.5,2.8,1.2,-0.1,-0.001,-4.5,-1.6,2019
7,CHI,Coby White,UNC,4,269,7235,3387,908,883,0.419,0.367,0.854,26.9,12.6,3.4,3.3,8.8,0.058,-2.1,-0.1,2019
8,ATL,Jaxson Hayes,Texas,4,241,4052,1808,963,168,0.622,0.288,0.719,16.8,7.5,4,0.7,14,0.165,0,2,2019
9,WAS,Rui Hachimura,Gonzaga,4,210,5650,2620,1049,275,0.48,0.347,0.77,26.9,12.5,5,1.3,7.2,0.061,-2.6,-0.9,2019
10,ATL,Cam Reddish,Duke,4,173,4303,1786,513,227,0.399,0.322,0.843,24.9,10.3,3,1.3,2,0.022,-3.2,-1.3,2019
11,MIN,Cameron Johnson,UNC,4,225,5621,2549,844,332,0.447,0.393,0.843,25,11.3,3.8,1.5,14.4,0.123,1.4,4.9,2019
12,CHO,P.J. Washington,Kentucky,4,260,7861,3346,1429,606,0.45,0.366,0.711,30.2,12.9,5.5,2.3,10.6,0.065,-1,2,2019
13,MIA,Tyler Herro,Kentucky,4,242,7631,4272,1181,848,0.439,0.383,0.875,31.5,17.7,4.9,3.5,10.5,0.066,-0.2,3.5,2019
14,BOS,Romeo Langford,Indiana,4,141,2268,650,298,97,0.43,0.288,0.659,16.1,4.6,2.1,0.7,2,0.043,-3.4,-0.8,2019
15,DET,Sekou Doumbouya,,3,96,1639,542,267,66,0.388,0.256,0.693,17.1,5.6,2.8,0.7,-0.4,-0.013,-6.5,-1.8,2019
16,ORL,Chuma Okeke,Auburn,3,142,3400,1082,624,256,0.386,0.323,0.802,23.9,7.6,4.4,1.8,4.1,0.059,-0.8,1,2019
17,BRK,Nickeil Alexander-Walker,Virginia Tech,4,217,3948,1830,516,455,0.397,0.339,0.713,18.2,8.4,2.4,2.1,1.7,0.021,-2.3,-0.3,2019
18,IND,Goga Bitadze,,4,187,2218,919,570,154,0.49,0.251,0.678,11.9,4.9,3,0.8,5.4,0.116,-0.9,0.6,2019
19,SAS,Luka Šamanić,,3,43,517,207,108,36,0.438,0.28,0.609,12,4.8,2.5,0.8,0.3,0.024,-4,-0.3,2019
20,BOS,Matisse Thybulle,Washington,4,267,5470,1232,522,270,0.447,0.334,0.662,20.5,4.6,2,1,11,0.096,0.7,3.8,2019
21,OKC,Brandon Clarke,Gonzaga,4,237,5051,2534,1325,334,0.604,0.29,0.705,21.3,10.7,5.6,1.4,19.9,0.189,2.8,6.1,2019
22,BOS,Grant Williams,Tennessee,4,288,6101,1774,993,341,0.451,0.379,0.773,21.2,6.2,3.4,1.2,12.2,0.096,-1.6,0.6,2019
23,UTA,Darius Bazley,,4,228,5384,2065,1216,275,0.411,0.31,0.673,23.6,9.1,5.3,1.2,2.8,0.025,-2.5,-0.6,2019
24,PHI,Ty Jerome,Virginia,4,157,2733,1104,293,408,0.421,0.352,0.826,17.4,7,1.9,2.6,3.9,0.069,-1.6,0.3,2019
25,POR,Nassir Little,UNC,4,192,3277,1161,613,149,0.451,0.335,0.725,17.1,6,3.2,0.8,4,0.059,-2.5,-0.4,2019
26,CLE,Dylan Windler,Belmont,3,84,982,276,196,68,0.416,0.322,0.8,11.7,3.3,2.3,0.8,1.3,0.064,-1.7,0.1,2019
27,BRK,Mfiondu Kabengele,Florida State,3,55,380,143,81,19,0.383,0.301,0.852,6.9,2.6,1.5,0.3,0.4,0.055,-3.6,-0.2,2019
28,GSW,Jordan Poole,Michigan,4,266,7003,4195,695,906,0.421,0.339,0.878,26.3,15.8,2.6,3.4,9.9,0.068,-1.6,0.7,2019
29,SAS,Keldon Johnson,Kentucky,4,224,6724,3698,1244,477,0.468,0.363,0.752,30,16.5,5.6,2.1,10.5,0.075,-1.2,1.4,2019
30,MIL,Kevin Porter Jr.,USC,4,196,5928,3008,842,987,0.431,0.357,0.725,30.2,15.3,4.3,5,4,0.032,-1.6,0.7,2019
31,BRK,Nic Claxton,Georgia,4,170,4026,1649,1176,231,0.679,0.143,0.54,23.7,9.7,6.9,1.4,15.1,0.18,1.9,3.9,2019
32,PHO,KZ Okpala,Stanford,4,98,965,222,148,47,0.409,0.286,0.667,9.8,2.3,1.5,0.5,1,0.05,-4.7,-0.7,2019
33,PHI,Carsen Edwards,Purdue,3,72,706,267,79,52,0.364,0.297,0.758,9.8,3.7,1.1,0.7,0.3,0.019,-5.1,-0.5,2019
34,PHI,Bruno Fernando,Maryland,4,158,1496,532,468,97,0.527,0.133,0.639,9.5,3.4,3,0.6,2.1,0.067,-3.5,-0.6,2019
35,ATL,Didi Louzada,,2,12,185,43,20,8,0.326,0.355,1,15.4,3.6,1.7,0.7,-0.1,-0.034,-8.1,-0.3,2019
36,CHO,Cody Martin,Nevada,4,178,3752,1024,628,371,0.457,0.318,0.658,21.1,5.8,3.5,2.1,6.1,0.078,-1.4,0.6,2019
37,DAL,Deividas Sirvydis,,2,23,160,44,35,6,0.3,0.314,0.5,7,1.9,1.5,0.3,-0.1,-0.032,-5.9,-0.2,2019
38,CHI,Daniel Gafford,Arkansas,4,247,4448,1982,1177,202,0.706,0,0.665,18,8,4.8,0.8,17.4,0.188,1.1,3.5,2019
39,NOP,Alen Smailagić,,2,29,223,87,43,17,0.463,0.304,0.72,7.7,3,1.5,0.6,0.3,0.056,-3.3,-0.1,2019
40,SAC,Justin James,Wyoming,2,72,542,228,62,40,0.446,0.343,0.544,7.5,3.2,0.9,0.6,0.3,0.024,-3.1,-0.2,2019
41,GSW,Eric Paschall,Villanova,3,158,3085,1552,509,214,0.494,0.326,0.758,19.5,9.8,3.2,1.4,5,0.078,-2.2,-0.1,2019
42,PHI,Admiral Schofield,Tennessee,3,108,1288,400,198,71,0.42,0.322,0.811,11.9,3.7,1.8,0.7,1.2,0.046,-4.6,-0.8,2019
43,MIN,Jaylen Nowell,Washington,4,184,3137,1667,401,343,0.447,0.322,0.798,17,9.1,2.2,1.9,4.8,0.074,-1.6,0.3,2019
44,MIA,Bol Bol,Oregon,4,123,1833,776,468,87,0.533,0.293,0.739,14.9,6.3,3.8,0.7,2.5,0.065,-1.3,0.3,2019
45,DET,Isaiah Roby,Nebraska,4,151,2858,1159,667,216,0.485,0.351,0.675,18.9,7.7,4.4,1.4,4,0.068,-2.3,-0.2,2019
46,ORL,Talen Horton-Tucker,Iowa State,4,196,4209,1914,579,592,0.431,0.28,0.77,21.5,9.8,3,3,4.1,0.046,-2.1,-0.1,2019
47,SAC,Ignas Brazdeikis,Michigan,3,64,838,318,122,58,0.416,0.315,0.686,13.1,5,1.9,0.9,0.4,0.024,-4.9,-0.6,2019
48,LAC,Terance Mann,Florida State,4,270,5814,2156,998,550,0.5,0.383,0.784,21.5,8,3.7,2,14.3,0.118,-0.4,2.3,2019
49,SAS,Quinndary Weatherspoon,Mississippi State,3,42,272,88,32,24,0.452,0.188,0.826,6.5,2.1,0.8,0.6,0.2,0.03,-5.5,-0.2,2019
50,IND,Jarrell Brantley,College of Charleston,3,41,273,110,53,29,0.457,0.38,0.833,6.7,2.7,1.3,0.7,0.6,0.108,0,0.1,2019
51,BOS,Tremont Waters,LSU,3,40,407,149,37,85,0.354,0.296,0.96,10.2,3.7,0.9,2.1,0.1,0.012,-3,-0.1,2019
52,CHO,Jalen McDaniels,San Diego State,4,198,4005,1530,750,254,0.465,0.345,0.784,20.2,7.7,3.8,1.3,6.1,0.073,-2.5,-0.5,2019
53,UTA,Justin Wright-Foreman,Hofstra,1,4,45,19,5,7,0.35,0.2,0.75,11.3,4.8,1.3,1.8,0,-0.008,-9,-0.1,2019
54,PHI,Marial Shayok,Iowa State,1,4,28,11,7,1,0.25,0.333,0.75,7,2.8,1.8,0.3,-0.1,-0.13,-13,-0.1,2019
55,NYK,Kyle Guy,Virginia,3,53,431,165,53,50,0.361,0.303,0.75,8.1,3.1,1,0.9,0.1,0.006,-4.9,-0.3,2019
56,LAC,Jaylen Hands,UCLA,,,,,,,,,,,,,,,,,,2019
57,NOP,Jordan Bone,Tennessee,2,24,249,68,28,26,0.378,0.286,,10.4,2.8,1.2,1.1,0.1,0.01,-5.9,-0.2,2019
58,GSW,Miye Oni,Yale,3,80,672,145,108,37,0.35,0.33,0.75,8.4,1.8,1.4,0.5,1,0.07,-2.5,-0.1,2019
59,TOR,Dewan Hernandez,Miami (FL),1,6,28,14,14,3,0.357,0.5,0.6,4.7,2.3,2.3,0.5,0,0.043,-9.6,-0.1,2019
60,SAC,Vanja Marinković,,,,,,,,,,,,,,,,,,,2019
1,MIN,Anthony Edwards,Georgia,3,223,7622,4871,1137,836,0.441,0.352,0.77,34.2,21.8,5.1,3.7,8.9,0.056,0.1,4.1,2020
2,GSW,James Wiseman,Memphis,2,84,1703,898,493,56,0.537,0.276,0.667,20.3,10.7,5.9,0.7,2.1,0.06,-4.2,-1,2020
3,CHO,LaMelo Ball,,3,162,5159,3149,1034,1188,0.426,0.377,0.828,31.8,19.4,6.4,7.3,10.5,0.098,2.7,6.2,2020
4,CHI,Patrick Williams,Florida State,3,170,4728,1641,723,214,0.477,0.414,0.779,27.8,9.7,4.3,1.3,6.8,0.069,-1.8,0.3,2020
5,CLE,Isaac Okoro,Auburn,3,210,5806,1724,594,336,0.459,0.33,0.749,27.6,8.2,2.8,1.6,9.4,0.077,-2.6,-0.8,2020
6,ATL,Onyeka Okongwu,USC,3,178,3442,1411,1022,152,0.653,0.25,0.741,19.3,7.9,5.7,0.9,13.2,0.184,0.4,2.1,2020
7,DET,Killian Hayes,,3,168,4471,1415,500,885,0.376,0.274,0.803,26.6,8.4,3,5.3,-1.2,-0.013,-4.2,-2.5,2020
8,NYK,Obi Toppin,Dayton,3,201,2963,1398,593,172,0.492,0.325,0.766,14.7,7,3,0.9,7.5,0.122,0.5,1.9,2020
9,WAS,Deni Avdija,,3,212,5261,1724,1174,441,0.431,0.31,0.734,24.8,8.1,5.5,2.1,5.9,0.054,-2.3,-0.4,2020
10,PHO,Jalen Smith,Maryland,3,146,2360,1165,738,94,0.485,0.297,0.76,16.2,8,5.1,0.6,5.1,0.104,-1.7,0.2,2020
11,SAS,Devin Vassell,Florida State,3,171,4171,1916,628,328,0.427,0.367,0.816,24.4,11.2,3.7,1.9,6.1,0.07,-0.5,1.6,2020
12,SAC,Tyrese Haliburton,Iowa State,3,191,6324,3094,689,1522,0.479,0.408,0.857,33.1,16.2,3.6,8,18.2,0.138,3.7,9,2020
13,NOP,Kira Lewis Jr.,Alabama,3,103,1480,598,143,196,0.401,0.321,0.847,14.4,5.8,1.4,1.9,1.3,0.043,-3.1,-0.4,2020
14,BOS,Aaron Nesmith,Vanderbilt,3,171,3059,1152,493,143,0.423,0.346,0.827,17.9,6.7,2.9,0.8,3.5,0.055,-3.3,-1,2020
15,ORL,Cole Anthony,UNC,3,172,4884,2448,857,796,0.411,0.345,0.861,28.4,14.2,5,4.6,5.3,0.052,-1,1.3,2020
16,POR,Isaiah Stewart,Washington,3,189,4685,1693,1473,211,0.501,0.328,0.721,24.8,9,7.8,1.1,9.4,0.097,-2.2,-0.3,2020
17,MIN,Aleksej Pokusevski,,3,140,3024,1107,689,292,0.389,0.301,0.693,21.6,7.9,4.9,2.1,-0.6,-0.009,-3.2,-1,2020
18,DAL,Josh Green,Arizona,3,166,3023,966,421,210,0.516,0.368,0.691,18.2,5.8,2.5,1.3,5.5,0.087,-2.1,-0.1,2020
19,BRK,Saddiq Bey,Villanova,3,229,6742,3240,1121,446,0.406,0.361,0.844,29.4,14.1,4.9,1.9,11.1,0.079,-0.4,2.8,2020
20,MIA,Precious Achiuwa,Memphis,3,189,3602,1476,1009,161,0.474,0.321,0.605,19.1,7.8,5.3,0.9,6,0.081,-2.8,-0.7,2020
21,PHI,Tyrese Maxey,Kentucky,3,196,5601,3017,520,653,0.479,0.414,0.858,28.6,15.4,2.7,3.3,14.6,0.125,0.3,3.2,2020
22,DEN,Zeke Nnaji,Arizona,3,136,1823,683,350,45,0.527,0.382,0.655,13.4,5,2.6,0.3,4.3,0.112,-2.7,-0.3,2020
23,NYK,Leandro Bolmaro,,2,49,309,56,50,28,0.27,0.227,0.846,6.3,1.1,1,0.6,-0.3,-0.048,-7.8,-0.5,2020
24,MIL,R.J. Hampton,,3,162,3040,1145,460,299,0.41,0.342,0.68,18.8,7.1,2.8,1.8,0.9,0.014,-3.7,-1.3,2020
25,OKC,Immanuel Quickley,Kentucky,3,223,5389,2822,721,681,0.416,0.367,0.859,24.2,12.7,3.2,3.1,14.1,0.126,1,4.1,2020
26,BOS,Payton Pritchard,Oregon,3,185,2912,1222,380,323,0.43,0.4,0.89,15.7,6.6,2.1,1.7,6.2,0.102,-0.4,1.2,2020
27,UTA,Udoka Azubuike,Kansas,3,68,611,221,203,11,0.769,,0.512,9,3.3,3,0.2,1.8,0.14,-1.2,0.1,2020
28,LAL,Jaden McDaniels,Washington,3,212,5730,2027,832,298,0.482,0.36,0.731,27,9.6,3.9,1.4,8.3,0.069,-2.3,-0.5,2020
29,TOR,Malachi Flynn,San Diego State,3,144,2156,788,255,277,0.374,0.335,0.752,15,5.5,1.8,1.9,2.3,0.052,-2.8,-0.4,2020
30,BOS,Desmond Bane,TCU,3,202,5626,3256,835,580,0.469,0.425,0.883,27.9,16.1,4.1,2.9,16,0.136,2,5.7,2020
31,DAL,Tyrell Terry,Stanford,2,13,59,13,6,6,0.353,0,0.333,4.5,1,0.5,0.5,0,-0.035,-4.8,0,2020
32,CHO,Vernon Carey Jr.,Duke,3,37,187,72,50,5,0.474,0.143,0.654,5.1,1.9,1.4,0.1,0.2,0.058,-6.3,-0.2,2020
33,MIN,Daniel Oturu,Minnesota,2,33,188,63,53,10,0.431,0.167,0.706,5.7,1.9,1.6,0.3,0.3,0.086,-5.2,-0.2,2020
34,PHI,Théo Maledon,,3,160,3540,1314,465,490,0.377,0.317,0.786,22.1,8.2,2.9,3.1,0.4,0.005,-4.2,-2,2020
35,SAC,Xavier Tillman Sr.,Michigan State,3,173,2966,1071,724,233,0.552,0.279,0.606,17.1,6.2,4.2,1.3,8.8,0.143,0.9,2.1,2020
36,PHI,Tyler Bey,Colorado,1,18,71,18,19,3,0.318,0.25,0.6,3.9,1,1.1,0.2,0,-0.033,-9.5,-0.1,2020
37,WAS,Vit Krejci,,2,59,855,223,127,74,0.407,0.311,0.833,14.5,3.8,2.2,1.3,0.7,0.042,-4.9,-0.6,2020
38,UTA,Saben Lee,Vanderbilt,3,110,1758,626,229,348,0.427,0.292,0.733,16,5.7,2.1,3.2,3.1,0.084,-1.4,0.3,2020
39,NOP,Elijah Hughes,Syracuse,2,54,498,157,67,28,0.328,0.28,0.769,9.2,2.9,1.2,0.5,-0.4,-0.039,-6.4,-0.5,2020
40,MEM,Robert Woodard II,Mississippi State,2,25,87,27,27,5,0.278,0.2,0.5,3.5,1.1,1.1,0.2,-0.1,-0.077,-7.7,-0.1,2020
41,SAS,Tre Jones,Duke,3,174,3401,1382,421,720,0.469,0.271,0.837,19.5,7.9,2.4,4.1,6.7,0.094,-1,0.8,2020
42,NOP,Nick Richards,Kentucky,3,133,1647,697,513,53,0.633,0.5,0.734,12.4,5.2,3.9,0.4,5.2,0.151,-1.8,0.1,2020
43,SAC,Jahmi'us Ramsey,Texas Tech,2,32,228,100,23,13,0.406,0.27,0.632,7.1,3.1,0.7,0.4,-0.1,-0.023,-5.9,-0.2,2020
44,CHI,Marko Simonovic,,2,16,55,23,12,0,0.273,0.222,0.692,3.4,1.4,0.8,0,0,-0.026,-12.3,-0.1,2020
45,MIL,Jordan Nwora,Louisville,3,154,2647,1200,510,154,0.424,0.386,0.799,17.2,7.8,3.3,1,2.5,0.045,-2.9,-0.6,2020
46,POR,CJ Elleby,Washington State,2,88,1366,407,259,97,0.39,0.275,0.717,15.5,4.6,2.9,1.1,0.5,0.018,-5.2,-1.1,2020
47,BOS,Yam Madar,,,,,,,,,,,,,,,,,,,2020
48,GSW,Nico Mannion,Arizona,1,30,364,123,46,70,0.342,0.367,0.821,12.1,4.1,1.5,2.3,0.2,0.029,-3.9,-0.2,2020
49,PHI,Isaiah Joe,Arkansas,3,169,2387,1042,267,143,0.408,0.386,0.832,14.1,6.2,1.6,0.8,4.9,0.098,-1.1,0.5,2020
50,ATL,Skylar Mays,LSU,3,67,678,296,79,97,0.478,0.374,0.894,10.1,4.4,1.2,1.4,1.7,0.123,0.2,0.4,2020
51,GSW,Justinian Jessup,Boise State,,,,,,,,,,,,,,,,,,2020
52,SAC,Kenyon Martin Jr.,,3,206,5016,2154,991,272,0.545,0.34,0.674,24.3,10.5,4.8,1.3,10,0.096,-1.1,1.1,2020
53,OKC,Cassius Winston,Michigan State,2,29,137,55,10,19,0.409,0.435,0.9,4.7,1.9,0.3,0.7,0.1,0.051,-4.9,-0.1,2020
54,IND,Cassius Stanley,Duke,2,33,248,88,39,5,0.36,0.233,0.895,7.5,2.7,1.2,0.2,0,-0.006,-7.9,-0.4,2020
55,BRK,Jay Scrubb,John A. Logan College,3,24,235,97,36,10,0.416,0.313,0.765,9.8,4,1.5,0.4,-0.1,-0.014,-6.6,-0.3,2020
56,CHO,Grant Riller,College of Charleston,1,7,27,18,1,3,0.667,0.5,,3.9,2.6,0.1,0.4,0.1,0.177,5.1,0,2020
57,LAC,Reggie Perry,Mississippi State,2,36,398,170,120,26,0.459,0.189,0.679,11.1,4.7,3.3,0.7,0.4,0.048,-5.5,-0.3,2020
58,PHI,Paul Reed,DePaul,3,133,1234,491,415,55,0.574,0.15,0.658,9.3,3.7,3.1,0.4,4.8,0.185,0.3,0.7,2020
59,TOR,Jalen Harris,Nevada,1,13,172,96,18,17,0.5,0.472,0.778,13.2,7.4,1.4,1.3,0.3,0.079,0.3,0.1,2020
60,NOP,Sam Merrill,Utah State University,3,41,350,139,46,30,0.415,0.375,0.8,8.5,3.4,1.1,0.7,0.7,0.1,-1.4,0.1,2020
1,DET,Cade Cunningham,Oklahoma State,2,76,2488,1353,428,428,0.416,0.309,0.844,32.7,17.8,5.6,5.6,-0.6,-0.012,-1.5,0.3,2021
2,HOU,Jalen Green,,2,143,4740,2840,510,457,0.42,0.34,0.79,33.1,19.9,3.6,3.2,2.5,0.025,-2.4,-0.5,2021
3,CLE,Evan Mobley,USC,2,148,5046,2311,1281,398,0.533,0.232,0.669,34.1,15.6,8.7,2.7,13.7,0.131,1.2,4,2021
4,TOR,Scottie Barnes,Florida State,2,151,5295,2313,1069,627,0.473,0.29,0.755,35.1,15.3,7.1,4.2,11.6,0.106,0.7,3.5,2021
5,ORL,Jalen Suggs,Gonzaga,2,101,2553,1088,332,364,0.387,0.271,0.752,25.3,10.8,3.3,3.6,-0.3,-0.005,-3.3,-0.9,2021
6,OKC,Josh Giddey,,2,130,4067,1934,1020,814,0.459,0.295,0.723,31.3,14.9,7.8,6.3,4.3,0.051,0.3,2.3,2021
7,GSW,Jonathan Kuminga,,2,137,2579,1318,465,189,0.519,0.353,0.671,18.8,9.6,3.4,1.4,5.5,0.102,-1.6,0.2,2021
8,ORL,Franz Wagner,Michigan,2,159,5038,2682,685,514,0.477,0.358,0.85,31.7,16.9,4.3,3.2,9.4,0.089,-0.4,2,2021
9,SAC,Davion Mitchell,Baylor,2,155,3523,1311,271,498,0.429,0.317,0.698,22.7,8.5,1.7,3.2,1.6,0.022,-3.4,-1.2,2021
10,NOP,Ziaire Williams,Stanford,2,99,1907,711,208,100,0.444,0.298,0.779,19.3,7.2,2.1,1,2.4,0.06,-3.8,-0.8,2021
11,CHO,James Bouknight,UConn,2,65,819,333,124,67,0.353,0.316,0.77,12.6,5.1,1.9,1,-0.4,-0.025,-6.7,-1,2021
12,SAS,Joshua Primo,Alabama,2,54,1058,316,126,99,0.372,0.302,0.75,19.6,5.9,2.3,1.8,-0.1,-0.006,-5.1,-0.8,2021
13,IND,Chris Duarte,Oregon,2,101,2438,1082,341,178,0.41,0.347,0.821,24.1,10.7,3.4,1.8,0.9,0.017,-3.1,-0.7,2021
14,GSW,Moses Moody,Arkansas,2,115,1424,530,185,74,0.459,0.363,0.73,12.4,4.6,1.6,0.6,2.6,0.087,-2.6,-0.2,2021
15,WAS,Corey Kispert,Gonzaga,2,151,3894,1454,416,172,0.478,0.391,0.86,25.8,9.6,2.8,1.1,6.1,0.075,-1.9,0.1,2021
16,OKC,Alperen Şengün,,2,147,3660,1801,1071,476,0.522,0.276,0.713,24.9,12.3,7.3,3.2,7.3,0.096,0.4,2.3,2021
17,MEM,Trey Murphy III,Virginia,2,141,3312,1482,428,150,0.461,0.4,0.9,23.5,10.5,3,1.1,9.5,0.138,1,2.5,2021
18,OKC,Tre Mann,Florida,2,127,2550,1142,326,211,0.393,0.338,0.781,20.1,9,2.6,1.7,0.6,0.011,-4.2,-1.4,2021
19,NYK,Kai Jones,Texas,2,67,613,179,134,19,0.567,0.238,0.647,9.1,2.7,2,0.3,0.7,0.056,-4.3,-0.4,2021
20,ATL,Jalen Johnson,Duke,2,92,1162,447,308,86,0.496,0.282,0.635,12.6,4.9,3.3,0.9,2.2,0.09,-0.2,0.5,2021
21,NYK,Keon Johnson,Tennessee,2,77,1113,456,125,135,0.362,0.343,0.739,14.5,5.9,1.6,1.8,-0.9,-0.041,-5.7,-1,2021
22,LAL,Isaiah Jackson,Kentucky,2,99,1583,752,431,61,0.563,0.233,0.662,16,7.6,4.4,0.6,4.1,0.125,-1,0.4,2021
23,HOU,Usman Garuba,,2,99,1209,273,390,81,0.475,0.367,0.63,12.2,2.8,3.9,0.8,2.4,0.093,-1.3,0.2,2021
24,HOU,Josh Christopher,Arizona State,2,138,2120,959,257,223,0.455,0.277,0.74,15.4,6.9,1.9,1.6,0.3,0.006,-3.8,-1,2021
25,LAC,Quentin Grimes,Houston,2,117,2907,1074,323,194,0.45,0.384,0.778,24.8,9.2,2.8,1.7,6.2,0.102,-0.2,1.3,2021
26,DEN,Bones Hyland,VCU,2,125,2395,1357,323,363,0.401,0.368,0.85,19.2,10.9,2.6,2.9,3.8,0.076,-0.6,0.9,2021
27,BRK,Cam Thomas,LSU,2,124,2124,1174,256,156,0.437,0.319,0.853,17.1,9.5,2.1,1.3,1.8,0.04,-3.1,-0.6,2021
28,PHI,Jaden Springer,Tennessee,2,18,95,44,16,8,0.5,0.4,0.75,5.3,2.4,0.9,0.4,0.3,0.144,1.4,0.1,2021
29,PHO,Day'Ron Sharpe,UNC,2,80,943,425,360,54,0.559,0.444,0.615,11.8,5.3,4.5,0.7,2.8,0.144,-2.5,-0.1,2021
30,UTA,Santi Aldama,Loyola (MD),2,109,2042,828,458,118,0.457,0.318,0.727,18.7,7.6,4.2,1.1,4.9,0.115,-0.6,0.7,2021
31,MIL,Isaiah Todd,,2,18,135,29,24,8,0.222,0.192,0.5,7.5,1.6,1.3,0.4,-0.3,-0.124,-10.2,-0.3,2021
32,NYK,Jeremiah Robinson-Earl,Villanova,2,92,1901,658,454,92,0.427,0.344,0.781,20.7,7.2,4.9,1,3.4,0.085,-1.9,0.1,2021
33,ORL,Jason Preston,Ohio University,1,14,124,41,22,27,0.439,0.278,0,8.9,2.9,1.6,1.9,0.1,0.021,-2.6,0,2021
34,OKC,Rokas Jokubaitis,,,,,,,,,,,,,,,,,,,2021
35,NOP,Herbert Jones,Alabama,2,144,4286,1391,565,329,0.473,0.336,0.802,29.8,9.7,3.9,2.3,8.9,0.099,-0.4,1.7,2021
36,OKC,Miles McBride,West Virginia,2,104,1132,311,92,113,0.337,0.282,0.667,10.9,3,0.9,1.1,1,0.042,-3,-0.3,2021
37,DET,JT Thor,Auburn,2,102,1231,329,195,55,0.406,0.307,0.672,12.1,3.2,1.9,0.5,0.5,0.019,-4.4,-0.7,2021
38,CHI,Ayo Dosunmu,Illinois,2,157,4208,1366,434,462,0.506,0.344,0.744,26.8,8.7,2.8,2.9,6,0.068,-2.2,-0.3,2021
39,SAC,Neemias Queta,Utah State University,2,20,149,57,42,7,0.489,,0.579,7.5,2.9,2.1,0.4,0.2,0.07,-4.8,-0.1,2021
40,NOP,Jared Butler,Baylor,2,48,437,198,49,71,0.415,0.343,0.688,9.1,4.1,1,1.5,0.5,0.058,-1.8,0,2021
41,SAS,Joe Wieskamp,Iowa,2,38,255,70,18,12,0.329,0.309,0.538,6.7,1.8,0.5,0.3,0.1,0.013,-5.3,-0.2,2021
42,DET,Isaiah Livers,Michigan,2,71,1582,467,200,62,0.426,0.378,0.83,22.3,6.6,2.8,0.9,1.7,0.052,-2.2,-0.1,2021
43,NOP,Greg Brown III,Texas,2,64,733,253,154,38,0.422,0.294,0.636,11.5,4,2.4,0.6,0.2,0.016,-5.2,-0.6,2021
44,BRK,Kessler Edwards,Pepperdine,2,84,1372,384,233,54,0.406,0.34,0.794,16.3,4.6,2.8,0.6,1,0.036,-3.9,-0.7,2021
45,BOS,Juhann Begarin,,,,,,,,,,,,,,,,,,,2021
