Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
6,ORL,Jonathan Isaac,Florida State,4,147,3636,1324,785,152,0.434,0.333,0.789,24.7,9,5.3,1,7,0.093,0.3,2.1,2017
7,MIN,Lauri Markkanen,Arizona,6,348,10662,6030,2474,477,0.455,0.371,0.858,30.6,17.3,7.1,1.4,24.8,0.112,0.8,7.3,2017
8,NYK,Frank Ntilikina,,6,316,5411,1530,557,689,0.371,0.323,0.76,17.1,4.8,1.8,2.2,0.4,0.004,-4.4,-3.2,2017
9,DAL,Dennis Smith Jr.,NC State,6,270,6542,2791,803,1178,0.403,0.299,0.667,24.2,10.3,3,4.4,0.6,0.004,-2.3,-0.5,2017
10,SAC,Zach Collins,Gonzaga,5,245,4634,1830,1169,380,0.477,0.342,0.749,18.9,7.5,4.8,1.6,7.3,0.076,-1.6,0.4,2017
11,CHO,Malik Monk,Kentucky,6,386,8017,4217,920,925,0.43,0.356,0.849,20.8,10.9,2.4,2.4,8.9,0.053,-1.4,1.1,2017
12,DET,Luke Kennard,Duke,6,356,8288,3512,1005,694,0.455,0.437,0.877,23.3,9.9,2.8,1.9,17.6,0.102,-0.2,3.8,2017
13,DEN,Donovan Mitchell,Louisville,6,413,14069,10156,1722,1843,0.448,0.365,0.839,34.1,24.6,4.2,4.5,37.9,0.129,3.1,18.2,2017
14,MIA,Bam Adebayo,Kentucky,6,418,12264,6146,3538,1429,0.554,0.129,0.755,29.3,14.7,8.5,3.4,42.8,0.168,2.7,14.5,2017
15,POR,Justin Jackson,UNC,6,278,4886,1676,654,285,0.423,0.319,0.796,17.6,6,2.4,1,5.3,0.052,-2.8,-1,2017
16,CHI,Justin Patton,Creighton,4,22,296,86,60,19,0.404,0.25,0.667,13.5,3.9,2.7,0.9,0.4,0.066,-2.8,-0.1,2017
17,MIL,D.J. Wilson,Michigan,5,146,1803,647,452,108,0.419,0.327,0.618,12.3,4.4,3.1,0.7,2.8,0.075,-2.6,-0.3,2017
18,IND,T.J. Leaf,UCLA,4,146,1238,477,283,43,0.492,0.341,0.585,8.5,3.3,1.9,0.3,2.7,0.104,-1.8,0.1,2017
19,ATL,John Collins,Wake Forest,6,364,10618,5768,2903,540,0.551,0.356,0.783,29.2,15.8,8,1.5,32.3,0.146,0.9,7.8,2017
